"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-W-Sparse",10,100,0.8,0.8,85,2,0.188664885712862,0.811722089158223,0.92,0.02490886839794,0.0249842049793949,-0.00544761159509286,-0.0052913824155349,0.999827329975376,0.999264301096454,30.4,7.73949742169938e-05
"../Scripts/DATA-R-W-Sparse",10,100,0.8,1,103,2,0.0635388780058431,0.960888695088654,0.96,0.0243073364118567,0.0138437656545607,-0.0360620251674447,-0.0204067299744929,0.917046850233112,0.950913221977842,57.4,0.00488551461889948
"../Scripts/DATA-R-W-Sparse",10,500,0,0.8,76,2,0.158814484897578,0.841212295745732,0.95,0.00143578889760799,0.00142657263184969,-0.000890039302507888,-0.000703533811232083,0.992684486343054,0.992744257405254,102,5.35612866197561e-06
"../Scripts/DATA-R-W-Sparse",10,500,0,1,94,2,0.00015295728245551,0.999948014979989,0.95,0.000671027413664161,0.00063089613220839,-0.000823445086500606,-0.00100687035802542,0.996667671733643,0.996858361580669,102,2.01944524888092e-05
"../Scripts/DATA-R-W-Sparse",10,500,0.5,0.8,82,2,0.191403298162822,0.825396793799952,0.76,0.0426853873374165,0.0362872027781259,0.0272545298596368,0.0227482571002798,0.78638847313441,0.818786536781792,68.6,0.00336001839255483
"../Scripts/DATA-R-W-Sparse",10,500,0.5,1,100,2,0.00559162531999462,0.998027329453955,0.92,0.00740516968676528,0.0062473881571289,0.0207955262985423,0.0229448176953827,0.962482304379379,0.971534763349043,60.6,0.000723790954789864
"../Scripts/DATA-R-W-Sparse",10,500,0.8,0.8,88,2,0.162817900270406,0.838177954536617,0.98,0.00413264608634539,0.00339588706732595,-0.00724217690458418,-0.00419436757630805,0.980796855038232,0.983837388771761,17.4,0.000199170961404582
"../Scripts/DATA-R-W-Sparse",10,500,0.8,1,106,2,0.00390898826513142,0.99827603201099,0.98,0.0062476807181817,0.00587840780540504,0.0146268459933208,0.0128729192935688,0.973303599065347,0.974549130919486,53.8,0.000437004055224232
"../Scripts/DATA-R-W-Sparse",100,100,0,0.8,74,2,0.192121518914112,0.807878500286355,0.995,0.000371453497966827,0.000371456216467747,-5.97404636398535e-06,-6.72572171370679e-06,0.981337293229709,0.981337267944897,12.4,3.84009350859327e-10
"../Scripts/DATA-R-W-Sparse",100,100,0,1,92,2,3.28030681136268e-07,0.999999887814058,0.995,1.49231240330349e-06,1.48320605152576e-06,3.01272267517762e-05,2.70648146419201e-05,0.999925376645966,0.999925819684847,102,4.31689478882371e-09
"../Scripts/DATA-R-W-Sparse",100,100,0.5,0.8,80,2,0.201278800596009,0.803984139103398,0.914,0.00117659561672459,0.000983363162809619,-0.000207271942460937,-0.000716260130149956,0.942226943085634,0.951360136293174,50.2,0.000105258793988146
