n_variables,s_size,p_sparse,VAFx,n_components,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
1000,500,0,0.8,2,0.198860341,0.801139656,1,9.63E-04,2.754548863,2.38E-05,-7.36E-04,9.63E-04,2.75443861,3.00E-12,0.985261712,0.985261712,10,3.00E-12
1000,500,0,0.8,3,0.198181442,0.801818555,1,9.64E-04,2.738181162,-4.77E-05,0.002545257,9.64E-04,2.738151669,3.02E-12,0.978543897,0.978543897,10,3.02E-12
1000,500,0,0.95,2,0.049699496,0.950300503,1,9.63E-04,2.756009901,5.29E-05,-0.003075082,9.63E-04,2.755956942,4.14E-13,0.996693321,0.996693321,13.99,4.14E-13
1000,500,0,0.95,3,0.049540764,0.950459236,1,9.63E-04,2.739483196,-1.79E-05,1.44E-04,9.63E-04,2.739408269,4.11E-13,0.991507709,0.991507709,14,4.11E-13
1000,500,0,1,2,2.59E-31,1,1,9.63E-04,2.756211633,-3.88E-05,0.002082128,9.63E-04,2.756244865,7.52E-35,0.999999694,0.999999694,102,7.52E-35
1000,500,0,1,3,2.93E-31,1,1,9.63E-04,2.733945738,-1.19E-04,0.006344948,9.63E-04,2.733986312,6.21E-35,0.999999495,0.999999495,102,6.21E-35
1000,500,0.5,0.8,2,0.215121292,0.78488104,0.74891,9.64E-04,2.560777136,-3.08E-05,0.001743438,9.64E-04,2.560906306,5.99E-12,0.935387704,0.935401706,24.33,5.99E-12
1000,500,0.5,0.8,3,0.229200174,0.770804888,0.62552,9.67E-04,2.550208188,5.59E-05,-0.001872444,9.67E-04,2.550116614,7.79E-12,0.860541908,0.860544559,28.35,7.79E-12
1000,500,0.5,0.95,2,0.07008158,0.929922139,0.75017,9.64E-04,2.563770404,1.17E-04,-0.004945436,9.64E-04,2.563769727,3.61E-12,0.926926062,0.926932029,29,3.61E-12
1000,500,0.5,0.95,3,0.085687018,0.914317671,0.62488,9.67E-04,2.55077864,3.59E-06,3.82E-05,9.67E-04,2.550788425,3.71E-12,0.858460193,0.858422828,32.62,3.71E-12
1000,500,0.5,1,2,0.019637069,0.980365386,0.74919,9.64E-04,2.562116808,7.11E-05,-0.003749835,9.64E-04,2.561830378,7.15E-13,0.932699461,0.932700713,39.02,7.15E-13
1000,500,0.5,1,3,0.036499395,0.963506253,0.62578,9.67E-04,2.55143548,-7.31E-05,0.002756048,9.67E-04,2.551232389,3.00E-12,0.8595163,0.859583616,36.74,3.00E-12
1000,500,0.8,0.8,2,0.232807189,0.767195548,0.83913,9.57E-04,1.775764762,-1.73E-04,0.006776641,9.57E-04,1.775548723,2.75E-11,0.943326339,0.943438527,19.69,2.75E-11
1000,500,0.8,0.8,3,0.229729485,0.770271467,0.71073,9.56E-04,1.763881694,-6.03E-05,7.47E-04,9.56E-04,1.764046895,1.99E-11,0.949013071,0.949276254,28.39,1.99E-11
1000,500,0.8,0.95,2,0.064638157,0.935362177,0.84007,9.55E-04,1.775420161,-3.02E-05,0.002557101,9.55E-04,1.775447973,1.52E-12,0.979320441,0.979443216,24.21,1.52E-12
1000,500,0.8,0.95,3,0.067875946,0.932124555,0.71034,9.55E-04,1.766245956,-2.77E-05,9.22E-04,9.55E-04,1.766357297,1.17E-12,0.97498263,0.975230746,30.7,1.17E-12
1000,500,0.8,1,2,0.016743592,0.983257078,0.83919,9.55E-04,1.768449432,2.56E-05,-9.53E-04,9.55E-04,1.768003488,3.93E-13,0.978575954,0.978729795,32.1,3.93E-13
1000,500,0.8,1,3,0.017527391,0.982472747,0.71013,9.55E-04,1.764695019,-8.18E-05,0.002708471,9.55E-04,1.764656607,2.99E-13,0.97693045,0.977194232,35.39,2.99E-13
